item,itemLabel,enLabel,pubYear,imdbID,tmdbID,type,genres,cast,directors,screenwriters,runtimes
http://www.wikidata.org/entity/Q121323115,대도시의 사랑법,Love in the Big City,2024,tt33022813,1154154,movie,로맨스 영화,"정휘, 노상현, 오동민, 장혜진, 김고은",이언희,,
http://www.wikidata.org/entity/Q123354208,댓글부대,Troll Factory,2024,tt31315820,1007127,movie,"액션 영화, 범죄 영화","김동휘, 홍경, 손석구, 김성철",안국진,안국진,
http://www.wikidata.org/entity/Q123354209,빅토리,Victory,2024,tt29419864,1091051,movie,뮤지컬 영화,"권유나, 백하이, 이한주, 최지수, 이정하, 박세완, 조아람, 혜리",박범수,,
http://www.wikidata.org/entity/Q123354224,파일럿,Pilot,2024,tt32175399,965094,movie,코미디 영화,조정석,,,
http://www.wikidata.org/entity/Q123354234,무도실무관,Officer Black Belt,2024,tt28494829,1139817,movie,액션 영화,"강형석, 김우빈, 김성균",김주환,김주환,
http://www.wikidata.org/entity/Q123469290,황야,Badland Hunters,2024,tt29722855,933131,movie,"액션 영화, 포스트아포칼립스 영화, 디스토피아 영화","이한주, 박지훈, 이준영, 안지혜, 박효준 (1980년), 노정의, 이희준, 마동석, 장영남",허명행,김보통,
http://www.wikidata.org/entity/Q124335954,여행자의 필요,A Traveler’s Needs,2024,tt31015344,1146410,movie,드라마 영화,"이혜영, 권해효, 이자벨 위페르",홍상수,홍상수,
http://www.wikidata.org/entity/Q124499929,도그데이즈,Dog Days,2024,tt30911335,876127,movie,드라마 영화,,김덕민,,
http://www.wikidata.org/entity/Q125619068,"안녕, 할부지",My Dearest Fu Bao,2024,tt33368329,1314450,movie,다큐멘터리 영화,,,,
http://www.wikidata.org/entity/Q127510067,하얼빈 (영화),Harbin,2024,tt23630030,610251,movie,전기 영화,현빈,우민호,,
http://www.wikidata.org/entity/Q131290723,청설,Hear Me: Our Summer,2024,tt31450914,1160981,movie,"드라마 영화, 로맨스 영화","노윤서, 김민주, 홍경, 현봉식, 니콜, 정혜영",,,
http://www.wikidata.org/entity/Q23994919,브로커,Broker,2023,tt13056052,736732,movie,드라마 영화,"이주영, 강동원, 송강호, 아이유, 배두나",고레에다 히로카즈,고레에다 히로카즈,129
http://www.wikidata.org/entity/Q79998779,교섭,The Point Men,2023,tt21111120,606400,movie,"액션 영화, 범죄 영화, 스릴러 영화","전성우, 강기영, 황정민, 현빈",임순례,,108
http://www.wikidata.org/entity/Q100377303,드림,Dream,2023,tt13814704,636173,movie,코미디 영화,"이은재, 정승길, 양현민, 홍완표, 김종수, 백지원, 허준석, 고창석, 강하늘, 박서준, 이현우, 아이유, 이하늬",이병헌,,125
http://www.wikidata.org/entity/Q100889636,헤어질 결심,Decision to Leave,2023,tt12477480,705996,movie,"드라마 영화, 로맨스 영화, 미스터리 영화","고경표, 박용우, 김신영, 박해일, 탕웨이, 이정현, 정이서, 유승목",박찬욱,"정서경, 박찬욱",138
http://www.wikidata.org/entity/Q102273941,싱글 인 서울,Single in Seoul,2023,tt29466094,717088,movie,"드라마 영화, 로맨스 영화","이미도 (1982년), 장현성, 이솜, 이동욱, 임수정",박범수,,"102, 103"
http://www.wikidata.org/entity/Q106514501,콘크리트 유토피아,Concrete Utopia,2023,tt13086266,729854,movie,"재난 영화, 스릴러 영화","이서환, 박지후, 김도윤, 이효제, 김선영, 김시운, 박서준, 박보영, 이병헌",엄태화,"이신지, 엄태화",130
http://www.wikidata.org/entity/Q107639040,대외비: 권력의 탄생,The Devil's Deal,2023,tt15089904,640327,movie,,"손여은, 이성민, 김무열, 조진웅",이원태,,116
http://www.wikidata.org/entity/Q110114630,달짝지근해: 7510,Honey Sweet,2023,tt28625660,978202,movie,,"진선규, 유해진, 한선화, 차인표, 김희선",이한,,118
